"Timestamp","1. Сколько лет вы работаете в компании?","2. Какую должность вы занимаете?","3. Как часто вы принимаете самостоятельные решения?","4. На сколько правильно вы устанавливаете распорядок рабочего дня?","5. На сколько вы способны работать в коллективе?","6. Способны ли вы делегировать полномочия?","7. Насколько точно вы оцениваете время выполнения задачи?","8. Насколько грамотно вы можете ставить и описывать задачи по проекту?","9. Можете ли вы найти оптимальное решение проблемы?","10. Умеете ли вы решать “нерешаемые” задачи?"
"2016/03/01 10:27:59 am GMT+4","От 1 года до 3 лет.","МР","Хорошо ориентируюсь в проекте - могу предложить несколько рабочих вариантов решения проблемы.","Иногда не успеваю, откладываю на следующий день.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Могу отдать маленькую подзадачу на менее опытного сотрудника. Если не справится - не критично, сам исправлю.","Могу разделить задачу, оценить каждую часть и посчитать сумму.","Расписываю/объясняю всё точно, поэтапно (возможно с примерами или указаниями на возможные решения).","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Погуглю, посмотрю tutorial-ы, спрошу у коллег. Задачу решу! Но бывает “встаю в ступор” над подобными задачами."
"2016/03/01 10:35:57 am GMT+4","От 1 года до 3 лет.","#ЯУпыр","Знаю проект и принимаю решения самостоятельно (готов отвечать за свой выбор).","Если не успеваю, остаюсь на вечер.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Прекрасно управляюсь с множеством задач. Могу заниматься лишь их описанием и проверкой результата, не написав ни единой строчки кода.","Могу разделить задачу, оценить каждую часть и посчитать сумму.","Расписываю/объясняю всё точно, поэтапно (возможно с примерами или указаниями на возможные решения).","Всегда проверяю оптимальность решения задачи. Если в будущем найду лучшее решение, то вынесу вопрос о его внедрении в проект.","Погуглю, посмотрю tutorial-ы, спрошу у коллег. Задачу решу! Но бывает “встаю в ступор” над подобными задачами."
"2016/03/01 10:42:56 am GMT+4","Менее 1 года.","Младший разработчик","Принимаю самостоятельно решения, когда это необходимо.","Иногда не успеваю, откладываю на следующий день.","Умею находить общий язык с коллегами.","Никогда не делегирую задачи. Сделаю всё сам, но зато правильно и проверять не надо!","Не умею оценивать задачи (никогда не пробовал).","Не описываю задачи. Если будет необходимость, коллеги сами у меня все спросят.","Нахожу более-менее оптимальное решение. Реализую, но не делаю попыток еще раз его переосмыслить. Потом если и найду решение, то промолчу об этом.","Погуглю. Поищу нужную информацию. Поспрашиваю может кто-что знает. Найду решение в конце концов, но затратив много времени."
"2016/03/01 10:47:32 am GMT+4","От 1 года до 3 лет.","Разработчик ПО 2 категории","Всегда принимаю важные решения самостоятельно (вне зависимости от сложности и важности задачи).","Иногда не успеваю, откладываю на следующий день.","Соблюдаю правила внутри коллектива (график/распорядок/субординация).;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.","Могу отдать маленькую подзадачу на менее опытного сотрудника. Если не справится - не критично, сам исправлю.","Знаю сколько времени будет потрачено (основываюсь на личном опыте).","Не общаюсь с людьми, затрудняюсь выражать мысли любым способом.","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Умею гуглить, найду что-нибудь на ""stack overflow"" или подсмотрю интересный алгоритм, спрошу у коллег. Умею решать задачи поэтапно, полон идей,""нерешаемых"" задач не бывает!"
"2016/03/01 11:02:34 am GMT+4","Более 3 лет.","Директор","Знаю проект и принимаю решения самостоятельно (готов отвечать за свой выбор).","Если не успеваю, остаюсь на вечер.","Умею находить общий язык с коллегами.;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Грамотно и быстро могу разделить/объединить задачи, сам выполняю не обязательно главную часть. Разбираюсь в проделанной работе.","Могу разделить задачу, оценить каждую часть и посчитать сумму.","Могу сформулировать суть задачи, объяснить, что может быть предпринято для её решения","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Погуглю. Поищу нужную информацию. Поспрашиваю может кто-что знает. Найду решение в конце концов, но затратив много времени."
"2016/03/01 11:05:42 am GMT+4","Менее 1 года.","инженер-программист по сопровождению ПО","Никогда не принимаю решения (на это есть начальник/старший разработчик).","Если не успеваю, остаюсь на вечер.","Умею находить общий язык с коллегами.;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Могу отдать маленькую подзадачу на менее опытного сотрудника. Если не справится - не критично, сам исправлю.","Могу оценить аналогичную задачу (ранее выполненную).","Могу сформулировать суть задачи, объяснить, что может быть предпринято для её решения","Нахожу решение задачи. Делаю так, чтобы все просто работало.","Погуглю, посмотрю tutorial-ы, спрошу у коллег. Задачу решу! Но бывает “встаю в ступор” над подобными задачами."
"2016/03/01 11:09:02 am GMT+4","От 1 года до 3 лет.","Дарт вейдер, инженер программист","Знаю проект и принимаю решения самостоятельно (готов отвечать за свой выбор).","Иногда не успеваю, откладываю на следующий день.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Могу отдать маленькую подзадачу на менее опытного сотрудника. Если не справится - не критично, сам исправлю.","Ошибаюсь в оценке не более чем на ⅓ от реального времени.","Могу сформулировать суть задачи, объяснить, что может быть предпринято для её решения","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Умею гуглить, найду что-нибудь на ""stack overflow"" или подсмотрю интересный алгоритм, спрошу у коллег. Умею решать задачи поэтапно, полон идей,""нерешаемых"" задач не бывает!"
"2016/03/01 11:31:57 am GMT+4","Менее 1 года.","Ведущий программец","Знаю проект и принимаю решения самостоятельно (готов отвечать за свой выбор).","Если не успеваю, остаюсь на вечер.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Хорошо делю задачи на логические части, знаю кто из сотрудников с чем справится.","Ошибаюсь в оценке не более чем на ⅓ от реального времени.","Расписываю/объясняю всё точно, поэтапно (возможно с примерами или указаниями на возможные решения).","Всегда проверяю оптимальность решения задачи. Если в будущем найду лучшее решение, то вынесу вопрос о его внедрении в проект.","Умею гуглить, найду что-нибудь на ""stack overflow"" или подсмотрю интересный алгоритм, спрошу у коллег. Умею решать задачи поэтапно, полон идей,""нерешаемых"" задач не бывает!"
"2016/03/01 11:51:59 am GMT+4","От 1 года до 3 лет.","Ответственный за направление интеграции с внешними системами","Знаю проект и принимаю решения самостоятельно (готов отвечать за свой выбор).","Если не успеваю, остаюсь на вечер.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Грамотно и быстро могу разделить/объединить задачи, сам выполняю не обязательно главную часть. Разбираюсь в проделанной работе.","Знаю сколько времени будет потрачено (основываюсь на личном опыте).","Расписываю/объясняю всё точно, поэтапно (возможно с примерами или указаниями на возможные решения).","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Умею гуглить, найду что-нибудь на ""stack overflow"" или подсмотрю интересный алгоритм, спрошу у коллег. Умею решать задачи поэтапно, полон идей,""нерешаемых"" задач не бывает!"
"2016/03/01 11:59:09 am GMT+4","Более 3 лет.","Software Engineer","Знаю проект и принимаю решения самостоятельно (готов отвечать за свой выбор).","Если не успеваю, остаюсь на вечер.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Грамотно и быстро могу разделить/объединить задачи, сам выполняю не обязательно главную часть. Разбираюсь в проделанной работе.","Могу разделить задачу, оценить каждую часть и посчитать сумму.","Могу всегда коротко и ясно изложить суть задачи.","Всегда проверяю оптимальность решения задачи. Если в будущем найду лучшее решение, то вынесу вопрос о его внедрении в проект.","Умею гуглить, найду что-нибудь на ""stack overflow"" или подсмотрю интересный алгоритм, спрошу у коллег. Умею решать задачи поэтапно, полон идей,""нерешаемых"" задач не бывает!"
